Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,Result
1986,Eastern,Conf Semis,Boston Celtics,1,N/A,Atlanta Hawks,4,N/A,Boston Celtics,4-1
1986,Eastern,Conf Semis,Milwaukee Bucks,2,N/A,Philadelphia 76ers,3,N/A,Milwaukee Bucks,4-3
1986,Western,Conf Semis,Los Angeles Lakers,1,N/A,Dallas Mavericks,4,N/A,Los Angeles Lakers,4-2
1986,Western,Conf Semis,Houston Rockets,2,N/A,Denver Nuggets,3,N/A,Houston Rockets,4-2
1986,Eastern,Round 1,Boston Celtics,1,N/A,Chicago Bulls,8,N/A,Boston Celtics,3-0
1986,Eastern,Round 1,Milwaukee Bucks,2,N/A,New Jersey Nets,7,N/A,Milwaukee Bucks,3-0
1986,Eastern,Round 1,Philadelphia 76ers,3,N/A,Washington Bullets,6,N/A,Philadelphia 76ers,3-2
1986,Eastern,Round 1,Atlanta Hawks,4,N/A,Detroit Pistons,5,N/A,Atlanta Hawks,3-1
1986,Western,Round 1,Los Angeles Lakers,1,N/A,San Antonio Spurs,8,N/A,Los Angeles Lakers,3-0
1986,Western,Round 1,Houston Rockets,2,N/A,Sacramento Kings,7,N/A,Houston Rockets,3-0
1986,Western,Round 1,Denver Nuggets,3,N/A,Portland Trail Blazers,6,N/A,Denver Nuggets,3-1
1986,Western,Round 1,Dallas Mavericks,4,N/A,Utah Jazz,5,N/A,Dallas Mavericks,3-1
1985,,NBA Finals,Boston Celtics,1,+170,Los Angeles Lakers,1,-200,Los Angeles Lakers,4-2
1985,Eastern,Conf Finals,Boston Celtics,1,N/A,Philadelphia 76ers,3,N/A,Boston Celtics,4-1
1985,Western,Conf Finals,Los Angeles Lakers,1,N/A,Denver Nuggets,2,N/A,Los Angeles Lakers,4-1
1985,Eastern,Conf Semis,Boston Celtics,1,N/A,Detroit Pistons,4,N/A,Boston Celtics,4-2
1985,Eastern,Conf Semis,Milwaukee Bucks,2,N/A,Philadelphia 76ers,3,N/A,Philadelphia 76ers,4-0
1985,Western,Conf Semis,Los Angeles Lakers,1,N/A,Portland Trail Blazers,5,N/A,Los Angeles Lakers,4-1
1985,Western,Conf Semis,Denver Nuggets,2,N/A,Utah Jazz,6,N/A,Denver Nuggets,4-1
1985,Eastern,Round 1,Boston Celtics,1,N/A,Cleveland Cavaliers,8,N/A,Boston Celtics,3-1
1985,Eastern,Round 1,Milwaukee Bucks,2,N/A,Chicago Bulls,7,N/A,Milwaukee Bucks,3-1
1985,Eastern,Round 1,Philadelphia 76ers,3,N/A,Washington Bullets,6,N/A,Philadelphia 76ers,3-1
1985,Eastern,Round 1,Detroit Pistons,4,N/A,New Jersey Nets,5,N/A,Detroit Pistons,3-0
1985,Western,Round 1,Los Angeles Lakers,1,N/A,Phoenix Suns,8,N/A,Los Angeles Lakers,3-0
1985,Western,Round 1,Denver Nuggets,2,N/A,San Antonio Spurs,7,N/A,Denver Nuggets,3-2
1985,Western,Round 1,Houston Rockets,3,N/A,Utah Jazz,6,N/A,Utah Jazz,3-2
1985,Western,Round 1,Dallas Mavericks,4,N/A,Portland Trail Blazers,5,N/A,Portland Trail Blazers,3-1
1984,,NBA Finals,Boston Celtics,1,-120,Los Angeles Lakers,1,+100,Boston Celtics,4-3
1984,Eastern,Conf Finals,Boston Celtics,1,N/A,Milwaukee Bucks,2,N/A,Boston Celtics,4-1
1984,Western,Conf Finals,Los Angeles Lakers,1,N/A,Phoenix Suns,6,N/A,Los Angeles Lakers,4-2
1984,Eastern,Conf Semis,Boston Celtics,1,N/A,New York Knicks,5,N/A,Boston Celtics,4-3
1984,Eastern,Conf Semis,Milwaukee Bucks,2,N/A,New Jersey Nets,6,N/A,Milwaukee Bucks,4-2
1984,Western,Conf Semis,Los Angeles Lakers,1,N/A,Dallas Mavericks,4,N/A,Los Angeles Lakers,4-1
1984,Western,Conf Semis,Utah Jazz,2,N/A,Phoenix Suns,6,N/A,Phoenix Suns,4-2
1984,Eastern,Round 1,Boston Celtics,1,N/A,Washington Bullets,8,N/A,Boston Celtics,3-1
1984,Eastern,Round 1,Milwaukee Bucks,2,N/A,Atlanta Hawks,7,N/A,Milwaukee Bucks,3-2
1984,Eastern,Round 1,Philadelphia 76ers,3,N/A,New Jersey Nets,6,N/A,New Jersey Nets,3-2
1984,Eastern,Round 1,Detroit Pistons,4,N/A,New York Knicks,5,N/A,New York Knicks,3-2
1984,Western,Round 1,Los Angeles Lakers,1,N/A,Kansas City Kings,8,N/A,Los Angeles Lakers,3-0
1984,Western,Round 1,Utah Jazz,2,N/A,Denver Nuggets,7,N/A,Utah Jazz,3-2
1984,Western,Round 1,Portland Trail Blazers,3,N/A,Phoenix Suns,6,N/A,Phoenix Suns,3-2
1984,Western,Round 1,Dallas Mavericks,4,N/A,Seattle SuperSonics,5,N/A,Dallas Mavericks,3-2
1983,,NBA Finals,Philadelphia 76ers,1,N/A,Los Angeles Lakers,1,N/A,Philadelphia 76ers,4-0
1983,Eastern,Conf Finals,Philadelphia 76ers,1,N/A,Milwaukee Bucks,2,N/A,Philadelphia 76ers,4-1
1983,Western,Conf Finals,Los Angeles Lakers,1,N/A,San Antonio Spurs,2,N/A,Los Angeles Lakers,4-2
1983,Eastern,Conf Semis,Philadelphia 76ers,1,N/A,New York Knicks,5,N/A,Philadelphia 76ers,4-0
1983,Eastern,Conf Semis,Boston Celtics,3,N/A,Milwaukee Bucks,2,N/A,Milwaukee Bucks,4-0
1983,Western,Conf Semis,Los Angeles Lakers,1,N/A,Portland Trail Blazers,5,N/A,Los Angeles Lakers,4-1
1983,Western,Conf Semis,San Antonio Spurs,2,N/A,Denver Nuggets,6,N/A,San Antonio Spurs,4-1
1983,Eastern,Round 1,Boston Celtics,3,N/A,Atlanta Hawks,6,N/A,Boston Celtics,2-1
1983,Eastern,Round 1,New Jersey Nets,4,N/A,New York Knicks,5,N/A,New York Knicks,2-0
1983,Western,Round 1,Phoenix Suns,3,N/A,Denver Nuggets,6,N/A,Denver Nuggets,2-1
1983,Western,Round 1,Seattle SuperSonics,4,N/A,Portland Trail Blazers,5,N/A,Portland Trail Blazers,2-0
1982,,NBA Finals,Los Angeles Lakers,1,-160,Philadelphia 76ers,3,+140,Los Angeles Lakers,4-2
1982,Eastern,Conf Finals,Boston Celtics,1,N/A,Philadelphia 76ers,3,N/A,Philadelphia 76ers,4-3
1982,Western,Conf Finals,Los Angeles Lakers,1,N/A,San Antonio Spurs,2,N/A,Los Angeles Lakers,4-0
1982,Eastern,Conf Semis,Boston Celtics,1,N/A,Washington Bullets,5,N/A,Boston Celtics,4-1
1982,Eastern,Conf Semis,Philadelphia 76ers,3,N/A,Milwaukee Bucks,2,N/A,Philadelphia 76ers,4-2
1982,Western,Conf Semis,Los Angeles Lakers,1,N/A,Phoenix Suns,5,N/A,Los Angeles Lakers,4-0
1982,Western,Conf Semis,Seattle SuperSonics,3,N/A,San Antonio Spurs,2,N/A,San Antonio Spurs,4-1
1982,Eastern,Round 1,Philadelphia 76ers,3,N/A,Atlanta Hawks,6,N/A,Philadelphia 76ers,2-0
1982,Eastern,Round 1,New Jersey Nets,4,N/A,Washington Bullets,5,N/A,Washington Bullets,2-0
1982,Western,Round 1,Seattle SuperSonics,3,N/A,Houston Rockets,6,N/A,Seattle SuperSonics,2-1
1982,Western,Round 1,Denver Nuggets,4,N/A,Phoenix Suns,5,N/A,Phoenix Suns,2-1
1981,,NBA Finals,Boston Celtics,1,-260,Houston Rockets,6,+220,Boston Celtics,4-2
1981,Eastern,Conf Finals,Boston Celtics,1,-160,Philadelphia 76ers,3,+140,Boston Celtics,4-3
1981,Western,Conf Finals,Kansas City Kings,5,-140,Houston Rockets,6,+120,Houston Rockets,4-1
1981,Eastern,Conf Semis,Boston Celtics,1,-180,Chicago Bulls,5,+160,Boston Celtics,4-0
1981,Eastern,Conf Semis,Philadelphia 76ers,3,-150,Milwaukee Bucks,2,+130,Philadelphia 76ers,4-3
1981,Western,Conf Semis,Phoenix Suns,1,-220,Kansas City Kings,5,+180,Kansas City Kings,4-3
1981,Western,Conf Semis,San Antonio Spurs,2,-160,Houston Rockets,6,+140,Houston Rockets,4-3
1981,Eastern,Round 1,Philadelphia 76ers,3,N/A,Indiana Pacers,6,N/A,Philadelphia 76ers,2-0
1981,Eastern,Round 1,New York Knicks,4,N/A,Chicago Bulls,5,N/A,Chicago Bulls,2-0
1981,Western,Round 1,Los Angeles Lakers,3,N/A,Houston Rockets,6,N/A,Houston Rockets,2-1
1981,Western,Round 1,Portland Trail Blazers,4,N/A,Kansas City Kings,5,N/A,Kansas City Kings,2-1
1980,,NBA Finals,Los Angeles Lakers,1,-190,Philadelphia 76ers,3,+170,Los Angeles Lakers,4-2
1980,Eastern,Conf Finals,Boston Celtics,1,-300,Philadelphia 76ers,3,+240,Philadelphia 76ers,4-1
1980,Western,Conf Finals,Los Angeles Lakers,1,-240,Seattle SuperSonics,3,+200,Los Angeles Lakers,4-1
1980,Eastern,Conf Semis,Boston Celtics,1,-700,Houston Rockets,4,+500,Boston Celtics,4-0
1980,Eastern,Conf Semis,Philadelphia 76ers,3,-120,Atlanta Hawks,2,+100,Philadelphia 76ers,4-1
1980,Western,Conf Semis,Los Angeles Lakers,1,-200,Phoenix Suns,4,+170,Los Angeles Lakers,4-1
1980,Western,Conf Semis,Seattle SuperSonics,3,-150,Milwaukee Bucks,2,+130,Seattle SuperSonics,4-3
1980,Eastern,Round 1,Philadelphia 76ers,3,-600,Washington Bullets,6,+400,Philadelphia 76ers,2-0
1980,Eastern,Round 1,Houston Rockets,4,-140,San Antonio Spurs,5,+120,Houston Rockets,2-1
1980,Western,Round 1,Seattle SuperSonics,3,-1000,Portland Trail Blazers,6,+700,Seattle SuperSonics,2-1
1980,Western,Round 1,Phoenix Suns,4,-700,Kansas City Kings,5,+500,Phoenix Suns,2-1
1979,,NBA Finals,Washington Bullets,1,-150,Seattle SuperSonics,1,+130,Seattle SuperSonics,4-1
1979,Eastern,Conf Finals,Washington Bullets,1,-190,San Antonio Spurs,2,+170,Washington Bullets,4-3
1979,Western,Conf Finals,Seattle SuperSonics,1,-160,Phoenix Suns,3,+140,Seattle SuperSonics,4-3
1979,Eastern,Conf Semis,Washington Bullets,1,N/A,Atlanta Hawks,5,N/A,Washington Bullets,4-3
1979,Eastern,Conf Semis,San Antonio Spurs,2,N/A,Philadelphia 76ers,3,N/A,San Antonio Spurs,4-3
1979,Western,Conf Semis,Seattle SuperSonics,1,N/A,Los Angeles Lakers,5,N/A,Seattle SuperSonics,4-1
1979,Western,Conf Semis,Phoenix Suns,3,N/A,Kansas City Kings,2,N/A,Phoenix Suns,4-1
1979,Eastern,Round 1,Philadelphia 76ers,3,-400,New Jersey Nets,6,+300,Philadelphia 76ers,2-0
1979,Eastern,Round 1,Houston Rockets,4,-160,Atlanta Hawks,5,+140,Atlanta Hawks,2-0
1979,Western,Round 1,Phoenix Suns,3,N/A,Portland Trail Blazers,6,N/A,Phoenix Suns,2-1
1979,Western,Round 1,Denver Nuggets,4,N/A,Los Angeles Lakers,5,N/A,Los Angeles Lakers,2-1
1978,,NBA Finals,Seattle SuperSonics,4,-140,Washington Bullets,3,+120,Washington Bullets,4-3
1978,Eastern,Conf Finals,Philadelphia 76ers,1,N/A,Washington Bullets,3,N/A,Washington Bullets,4-2
1978,Western,Conf Finals,Denver Nuggets,2,-160,Seattle SuperSonics,4,+140,Seattle SuperSonics,4-2
1978,Eastern,Conf Semis,Philadelphia 76ers,1,N/A,New York Knicks,5,N/A,Philadelphia 76ers,4-0
1978,Eastern,Conf Semis,San Antonio Spurs,2,N/A,Washington Bullets,3,N/A,Washington Bullets,4-2
1978,Western,Conf Semis,Portland Trail Blazers,1,N/A,Seattle SuperSonics,4,N/A,Seattle SuperSonics,4-2
1978,Western,Conf Semis,Denver Nuggets,2,N/A,Milwaukee Bucks,6,N/A,Denver Nuggets,4-3
1978,Eastern,Round 1,Washington Bullets,3,N/A,Atlanta Hawks,6,N/A,Washington Bullets,2-0
1978,Eastern,Round 1,Cleveland Cavaliers,4,N/A,New York Knicks,5,N/A,New York Knicks,2-0
1978,Western,Round 1,Phoenix Suns,3,N/A,Milwaukee Bucks,6,N/A,Milwaukee Bucks,2-0
1978,Western,Round 1,Seattle SuperSonics,4,N/A,Los Angeles Lakers,5,N/A,Seattle SuperSonics,2-1
1977,,NBA Finals,Philadelphia 76ers,1,-160,Portland Trail Blazers,3,+140,Portland Trail Blazers,4-2
1977,Eastern,Conf Finals,Philadelphia 76ers,1,-220,Houston Rockets,2,+180,Philadelphia 76ers,4-2
1977,Western,Conf Finals,Los Angeles Lakers,1,N/A,Portland Trail Blazers,3,N/A,Portland Trail Blazers,4-0
1977,Eastern,Conf Semis,Philadelphia 76ers,1,N/A,Boston Celtics,4,N/A,Philadelphia 76ers,4-3
1977,Eastern,Conf Semis,Houston Rockets,2,N/A,Washington Bullets,3,N/A,Houston Rockets,4-2
1977,Western,Conf Semis,Los Angeles Lakers,1,N/A,Golden State Warriors,4,N/A,Los Angeles Lakers,4-3
1977,Western,Conf Semis,Denver Nuggets,2,N/A,Portland Trail Blazers,3,N/A,Portland Trail Blazers,4-2
1977,Eastern,Round 1,Washington Bullets,3,N/A,Cleveland Cavaliers,6,N/A,Washington Bullets,2-1
1977,Eastern,Round 1,Boston Celtics,4,N/A,San Antonio Spurs,5,N/A,Boston Celtics,2-0
1977,Western,Round 1,Portland Trail Blazers,3,N/A,Chicago Bulls,6,N/A,Portland Trail Blazers,2-1
1977,Western,Round 1,Golden State Warriors,4,N/A,Detroit Pistons,5,N/A,Golden State Warriors,2-1
1976,,NBA Finals,Boston Celtics,1,-200,Phoenix Suns,3,+170,Boston Celtics,4-2
1976,Eastern,Conf Finals,Boston Celtics,1,-250,Cleveland Cavaliers,2,+200,Boston Celtics,4-2
1976,Western,Conf Finals,Golden State Warriors,1,N/A,Phoenix Suns,3,N/A,Phoenix Suns,4-3
1976,Eastern,Conf Semis,Boston Celtics,1,N/A,Buffalo Braves,5,N/A,Boston Celtics,4-2
1976,Eastern,Conf Semis,Cleveland Cavaliers,2,N/A,Washington Bullets,3,N/A,Cleveland Cavaliers,4-3
1976,Western,Conf Semis,Golden State Warriors,1,N/A,Detroit Pistons,5,N/A,Golden State Warriors,4-2
1976,Western,Conf Semis,Seattle SuperSonics,2,N/A,Phoenix Suns,3,N/A,Phoenix Suns,4-2
1976,Eastern,Round 1,Philadelphia 76ers,4,N/A,Buffalo Braves,5,N/A,Buffalo Braves,2-1
1976,Western,Round 1,Milwaukee Bucks,4,N/A,Detroit Pistons,5,N/A,Detroit Pistons,2-1
1975,,NBA Finals,Washington Bullets,2,-200,Golden State Warriors,1,+170,Golden State Warriors,4-0
1975,Eastern,Conf Finals,Boston Celtics,1,-180,Washington Bullets,2,+160,Washington Bullets,4-2
1975,Western,Conf Finals,Golden State Warriors,1,+100,Chicago Bulls,2,-120,Golden State Warriors,4-3
1975,Eastern,Conf Semis,Boston Celtics,1,N/A,Houston Rockets,4,N/A,Boston Celtics,4-1
1975,Eastern,Conf Semis,Washington Bullets,2,N/A,Buffalo Braves,3,N/A,Washington Bullets,4-3
1975,Western,Conf Semis,Golden State Warriors,1,N/A,Seattle SuperSonics,5,N/A,Golden State Warriors,4-2
1975,Western,Conf Semis,Chicago Bulls,2,N/A,Kansas City Kings,3,N/A,Chicago Bulls,4-2
1975,Eastern,Round 1,Houston Rockets,4,N/A,New York Knicks,5,N/A,Houston Rockets,2-1
1975,Western,Round 1,Seattle SuperSonics,4,N/A,Detroit Pistons,5,N/A,Seattle SuperSonics,2-1
1974,,NBA Finals,Milwaukee Bucks,1,N/A,Boston Celtics,1,N/A,Boston Celtics,4-3
1974,Eastern,Conf Finals,Boston Celtics,1,N/A,New York Knicks,3,N/A,Boston Celtics,4-1
1974,Western,Conf Finals,Milwaukee Bucks,1,N/A,Chicago Bulls,3,N/A,Milwaukee Bucks,4-0
1974,Eastern,Conf Semis,Boston Celtics,1,N/A,Buffalo Braves,4,N/A,Boston Celtics,4-2
1974,Eastern,Conf Semis,New York Knicks,3,N/A,Capital Bullets,2,N/A,New York Knicks,4-3
1974,Western,Conf Semis,Milwaukee Bucks,1,N/A,Los Angeles Lakers,2,N/A,Milwaukee Bucks,4-1
1974,Western,Conf Semis,Chicago Bulls,3,N/A,Detroit Pistons,4,N/A,Chicago Bulls,4-3
1973,,NBA Finals,Los Angeles Lakers,2,-160,New York Knicks,3,+140,New York Knicks,4-1
1973,Eastern,Conf Finals,Boston Celtics,1,N/A,New York Knicks,3,N/A,New York Knicks,4-3
1973,Western,Conf Finals,Los Angeles Lakers,2,N/A,Golden State Warriors,4,N/A,Los Angeles Lakers,4-1
1973,Eastern,Conf Semis,Boston Celtics,1,N/A,Atlanta Hawks,4,N/A,Boston Celtics,4-2
1973,Eastern,Conf Semis,New York Knicks,3,N/A,Baltimore Bullets,2,N/A,New York Knicks,4-1
1973,Western,Conf Semis,Milwaukee Bucks,1,N/A,Golden State Warriors,4,N/A,Golden State Warriors,4-2
1973,Western,Conf Semis,Los Angeles Lakers,2,N/A,Chicago Bulls,3,N/A,Los Angeles Lakers,4-3
1972,,NBA Finals,Los Angeles Lakers,1,-250,New York Knicks,3,+200,Los Angeles Lakers,4-1
1972,Eastern,Conf Finals,Boston Celtics,1,N/A,New York Knicks,3,N/A,New York Knicks,4-1
1972,Western,Conf Finals,Los Angeles Lakers,1,N/A,Milwaukee Bucks,2,N/A,Los Angeles Lakers,4-2
1972,Eastern,Conf Semis,Boston Celtics,1,N/A,Atlanta Hawks,4,N/A,Boston Celtics,4-2
1972,Eastern,Conf Semis,Baltimore Bullets,2,N/A,New York Knicks,3,N/A,New York Knicks,4-2
1972,Western,Conf Semis,Los Angeles Lakers,1,N/A,Chicago Bulls,3,N/A,Los Angeles Lakers,4-0
1972,Western,Conf Semis,Milwaukee Bucks,2,N/A,Golden State Warriors,4,N/A,Milwaukee Bucks,4-1
1971,,NBA Finals,Milwaukee Bucks,1,N/A,Baltimore Bullets,2,N/A,Milwaukee Bucks,4-0
1971,Eastern,Conf Finals,New York Knicks,1,N/A,Baltimore Bullets,2,N/A,Baltimore Bullets,4-3
1971,Western,Conf Finals,Milwaukee Bucks,1,N/A,Los Angeles Lakers,2,N/A,Milwaukee Bucks,4-1
1971,Eastern,Conf Semis,New York Knicks,1,N/A,Atlanta Hawks,4,N/A,New York Knicks,4-1
1971,Eastern,Conf Semis,Baltimore Bullets,2,N/A,Philadelphia 76ers,3,N/A,Baltimore Bullets,4-3
1971,Western,Conf Semis,Milwaukee Bucks,1,N/A,San Francisco Warriors,4,N/A,Milwaukee Bucks,4-1
1971,Western,Conf Semis,Los Angeles Lakers,2,N/A,Chicago Bulls,3,N/A,Los Angeles Lakers,4-3
1970,,NBA Finals,New York Knicks,1,-160,Los Angeles Lakers,2,+140,New York Knicks,4-3
1970,Eastern,Conf Finals,New York Knicks,1,N/A,Milwaukee Bucks,2,N/A,New York Knicks,4-1
1970,Western,Conf Finals,Atlanta Hawks,1,N/A,Los Angeles Lakers,2,N/A,Los Angeles Lakers,4-0
1970,Eastern,Conf Semis,New York Knicks,1,N/A,Baltimore Bullets,3,N/A,New York Knicks,4-3
1970,Eastern,Conf Semis,Milwaukee Bucks,2,N/A,Philadelphia 76ers,4,N/A,Milwaukee Bucks,4-1
1970,Western,Conf Semis,Atlanta Hawks,1,N/A,Chicago Bulls,3,N/A,Atlanta Hawks,4-1
1970,Western,Conf Semis,Los Angeles Lakers,2,N/A,Phoenix Suns,4,N/A,Los Angeles Lakers,4-3
1969,,NBA Finals,Los Angeles Lakers,1,-140,Boston Celtics,2,+120,Boston Celtics,4-3
1969,Eastern,Conf Finals,New York Knicks,3,N/A,Boston Celtics,4,N/A,Boston Celtics,4-2
1969,Western,Conf Finals,Los Angeles Lakers,1,N/A,Atlanta Hawks,2,N/A,Los Angeles Lakers,4-1
1969,Eastern,Conf Semis,Baltimore Bullets,1,N/A,New York Knicks,3,N/A,New York Knicks,4-0
1969,Eastern,Conf Semis,Philadelphia 76ers,2,N/A,Boston Celtics,4,N/A,Boston Celtics,4-1
1969,Western,Conf Semis,Los Angeles Lakers,1,N/A,San Diego Rockets,3,N/A,Los Angeles Lakers,4-1
1969,Western,Conf Semis,Atlanta Hawks,2,N/A,San Francisco Warriors,4,N/A,Atlanta Hawks,4-2
1968,,NBA Finals,Boston Celtics,2,N/A,Los Angeles Lakers,2,N/A,Boston Celtics,4-2
1968,Eastern,Conf Finals,Philadelphia 76ers,1,N/A,Boston Celtics,2,N/A,Boston Celtics,4-3
1968,Western,Conf Finals,Los Angeles Lakers,2,N/A,San Francisco Warriors,3,N/A,Los Angeles Lakers,4-0
1968,Eastern,Conf Semis,Philadelphia 76ers,1,N/A,New York Knicks,3,N/A,Philadelphia 76ers,4-2
1968,Eastern,Conf Semis,Boston Celtics,2,N/A,Detroit Pistons,4,N/A,Boston Celtics,4-2
1968,Western,Conf Semis,St Louis Hawks,1,N/A,San Francisco Warriors,3,N/A,San Francisco Warriors,4-1
1968,Western,Conf Semis,Los Angeles Lakers,2,N/A,Chicago Bulls,4,N/A,Los Angeles Lakers,4-2
